;;;;;;;;;;;;;;;;; 2 317 792 ;;;; 18 771 ;;;
key;Departure Date;Flight Number;Day_of_week;Sum_ASK;Sum_RPK;Sum_Revenues;Load factor;Yield;RASK;Month;SEASON;leg;Percentile_RASK_target;type;uplift_population;New Revenue;Rev Upside;;New RPK;RPK Upside;PAX Upside;Stage Length;;
LG-3591_Mon_L;19/02/2018;LG-3591;Mon;68600;51940;3939;0,757142857;7,583750481;5,741982507;2;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Tue_L;20/02/2018;LG-3591;Tue;68600;36260;3656;0,528571429;10,0827358;5,329446064;2;L;BCN;5,603498542;NONE;NO;;;;;;;980;;
LG-3591_Wed_L;21/02/2018;LG-3591;Wed;68600;39200;3437;0,571428571;8,767857143;5,010204082;2;L;BCN;6,320699708;NONE;NO;;;;;;;980;;
LG-3591_Thu_L;22/02/2018;LG-3591;Thu;68600;42140;4123;0,614285714;9,784053156;6,010204082;2;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Fri_H;23/02/2018;LG-3591;Fri;60760;37240;5093;0,612903226;13,67615467;8,382159315;2;H;BCN;15,10427536;NONE;NO;;;;;;;980;;
LG-3591_Mon_H;26/02/2018;LG-3591;Mon;64680;39200;5645;0,606060606;14,4005102;8,727581942;2;H;BCN;9,987963911;NONE;NO;;;;;;;980;;
LG-3591_Tue_H;27/02/2018;LG-3591;Tue;68600;20580;2817;0,3;13,68804665;4,106413994;2;H;BCN;8,996264353;NONE;NO;;;;;;;980;;
LG-3591_Wed_H;28/02/2018;LG-3591;Wed;49000;11760;1753;0,24;14,90646259;3,57755102;2;H;BCN;9,369169096;NONE;NO;;;;;;;980;;
LG-3591_Thu_L;01/03/2018;LG-3591;Thu;68600;44100;3835;0,642857143;8,696145125;5,590379009;3;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;02/03/2018;LG-3591;Fri;72520;70560;9200;0,972972973;13,03854875;12,68615554;3;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;05/03/2018;LG-3591;Mon;72520;69580;5239;0,959459459;7,529462489;7,22421401;3;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Tue_L;06/03/2018;LG-3591;Tue;68600;62720;5090;0,914285714;8,115433673;7,419825073;3;L;BCN;5,603498542;NONE;NO;;;;;;;980;;
LG-3591_Wed_L;07/03/2018;LG-3591;Wed;68600;49000;4336;0,714285714;8,848979592;6,320699708;3;L;BCN;6,320699708;NONE;NO;;;;;;;980;;
LG-3591_Thu_L;08/03/2018;LG-3591;Thu;68600;52920;4713;0,771428571;8,905895692;6,870262391;3;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;09/03/2018;LG-3591;Fri;176400;102900;12383;0,583333333;12,03401361;7,01984127;3;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
LG-3591_Mon_L;12/03/2018;LG-3591;Mon;68600;63700;5514;0,928571429;8,656200942;8,037900875;3;L;BCN;7,746355685;NONE;NO;;;;;;;980;;
LG-3591_Tue_L;13/03/2018;LG-3591;Tue;74480;72520;8452;0,973684211;11,65471594;11,34801289;3;L;BCN;5,603498542;NONE;NO;;;;;;;980;;
LG-3591_Wed_L;14/03/2018;LG-3591;Wed;68600;53900;4359;0,785714286;8,087198516;6,354227405;3;L;BCN;6,320699708;NONE;NO;;;;;;;980;;
LG-3591_Thu_L;15/03/2018;LG-3591;Thu;68600;50960;4895;0,742857143;9,605572998;7,135568513;3;L;BCN;6,791920664;NONE;NO;;;;;;;980;;
LG-3591_Fri_L;16/03/2018;LG-3591;Fri;74480;69580;9013;0,934210526;12,9534349;12,10123523;3;L;BCN;11,28644315;NONE;NO;;;;;;;980;;
